Sample_ID,Timestamp,Location_ID,Water_Temp_C,pH_Level,Turbidity_NTU,Dissolved_Oxygen_mgL,Microplastic_Count_per_m3,Dominant_Polymer,Dominant_Morphology,Average_Particle_Size_mm,Risk_Level
SMP-2026-0232,08-02-2026 12:00,LOC-101,26.4,6.79,21.27,4.76,382,PET,Foam,0.06,High
SMP-2026-0233,08-02-2026 16:00,LOC-102,10.2,7.18,2.03,11.21,60,PP,Foam,3.36,Low
SMP-2026-0234,08-02-2026 20:00,LOC-101,12.7,7.95,43.65,10.33,262,PS,Film,2.09,Medium
SMP-2026-0235,09-02-2026 00:00,LOC-105,23,6.72,42.74,7.73,267,PVC,Microbead,2.88,Medium
SMP-2026-0236,09-02-2026 04:00,LOC-105,13.5,6.9,23.32,10.39,555,PE,Foam,2.9,High
SMP-2026-0237,09-02-2026 08:00,LOC-107,20.5,7.5,4.67,7.51,45,PVC,Film,0.28,Low
SMP-2026-0238,09-02-2026 12:00,LOC-109,9.6,7.54,34.08,11.5,801,PP,Microbead,0.64,Critical
SMP-2026-0239,09-02-2026 16:00,LOC-109,17,7.16,22.39,8.82,231,PVC,Foam,1.12,Medium
SMP-2026-0240,09-02-2026 20:00,LOC-103,22.8,7.26,13.96,6.19,294,PE,Foam,1.16,Medium
SMP-2026-0241,10-02-2026 00:00,LOC-103,21.7,7.67,22.37,7.57,268,PP,Fiber,2.32,Medium
SMP-2026-0242,10-02-2026 04:00,LOC-103,24.3,7.82,23.75,6.4,552,PVC,Fiber,2.2,High
SMP-2026-0243,10-02-2026 08:00,LOC-104,25.5,6.87,25.54,6.35,497,PS,Microbead,1.76,High
SMP-2026-0244,10-02-2026 12:00,LOC-108,23.5,7.58,20.13,7.78,282,PA,Foam,0.78,Medium
SMP-2026-0245,10-02-2026 16:00,LOC-106,21.4,8.16,27.46,7.69,205,PP,Fragment,1.37,Medium
SMP-2026-0246,10-02-2026 20:00,LOC-108,8.6,7.34,41.38,10.91,828,PA,Fiber,1.93,Critical
SMP-2026-0247,11-02-2026 00:00,LOC-101,18.7,6.86,16.62,8.87,306,PP,Microbead,1.66,Medium
SMP-2026-0248,11-02-2026 04:00,LOC-108,8.8,6.84,32.79,11.54,185,PS,Foam,0.49,Medium
SMP-2026-0249,11-02-2026 08:00,LOC-104,24.2,7.32,40.3,6.17,226,PA,Foam,2.29,Medium
SMP-2026-0250,11-02-2026 12:00,LOC-101,14.4,7.92,20.79,8.88,450,PET,Fragment,0.3,High
SMP-2026-0251,11-02-2026 16:00,LOC-108,19.2,7.38,20.23,7.75,226,PE,Microbead,1.35,Medium
SMP-2026-0252,11-02-2026 20:00,LOC-104,13.6,7.49,27.29,10.34,499,PET,Foam,2.5,High
SMP-2026-0253,12-02-2026 00:00,LOC-106,23.7,6.9,26.82,6.74,401,PVC,Fiber,0.12,High
SMP-2026-0254,12-02-2026 04:00,LOC-108,25.7,7.89,36.39,6.33,822,PS,Fragment,2.02,Critical
SMP-2026-0255,12-02-2026 08:00,LOC-104,16,6.83,21.7,8.53,524,PET,Microbead,1.2,High
SMP-2026-0256,12-02-2026 12:00,LOC-103,25.3,7.15,44.83,6.84,1135,PP,Fragment,0.08,Critical
SMP-2026-0257,12-02-2026 16:00,LOC-109,13.3,7.71,3.15,9,42,PVC,Fiber,0.71,Low
SMP-2026-0258,12-02-2026 20:00,LOC-103,18.7,6.38,0.64,8.06,36,PVC,Microbead,3.3,Low
SMP-2026-0259,13-02-2026 00:00,LOC-109,25.2,7.49,28.99,6.65,322,PET,Fragment,1.85,Medium
SMP-2026-0260,13-02-2026 04:00,LOC-102,14.5,6.88,13.78,9.09,257,PET,Film,3.49,Medium
SMP-2026-0261,13-02-2026 08:00,LOC-102,27.1,7.41,11.2,6.18,192,PS,Fiber,1.86,Medium
SMP-2026-0262,13-02-2026 12:00,LOC-102,10.4,7.22,14.38,10.45,101,PE,Fiber,1.93,Medium
SMP-2026-0263,13-02-2026 16:00,LOC-106,8.4,8.45,11.89,10.87,294,PET,Fiber,1.4,Medium
SMP-2026-0264,13-02-2026 20:00,LOC-103,26.1,7.2,1.87,6.81,25,PET,Film,1.12,Low
SMP-2026-0265,14-02-2026 00:00,LOC-109,9.4,8.32,43.73,11.26,832,PA,Film,0.92,Critical
SMP-2026-0266,14-02-2026 04:00,LOC-104,27.8,7.69,10.32,5.92,241,PP,Foam,1.23,Medium
SMP-2026-0267,14-02-2026 08:00,LOC-101,27,7,33.16,6.41,715,PA,Fragment,1.64,Critical
SMP-2026-0268,14-02-2026 12:00,LOC-104,10.7,7.57,34.44,9.48,289,PA,Foam,0.71,Medium
SMP-2026-0269,14-02-2026 16:00,LOC-101,18.8,7.25,41.85,8.68,602,PVC,Fragment,0.83,High
SMP-2026-0270,14-02-2026 20:00,LOC-105,11.7,7.52,1.86,10.11,53,PE,Film,0.99,Low
SMP-2026-0271,15-02-2026 00:00,LOC-104,16.6,7.04,39.31,8.71,451,PP,Film,1.6,High
SMP-2026-0272,15-02-2026 04:00,LOC-108,9.2,8.25,23.96,11.46,358,PS,Foam,2.3,High
SMP-2026-0273,15-02-2026 08:00,LOC-108,12.5,7.86,28.65,10.07,313,PS,Microbead,3,Medium
SMP-2026-0274,15-02-2026 12:00,LOC-107,15.3,7.42,29.18,9.71,442,PET,Foam,1.04,High
SMP-2026-0275,15-02-2026 16:00,LOC-103,16.8,8.26,36.98,8.94,860,PET,Fragment,0.68,Critical
SMP-2026-0276,15-02-2026 20:00,LOC-101,27.5,7.44,15.34,5.83,230,PS,Foam,1.36,Medium
SMP-2026-0277,16-02-2026 00:00,LOC-101,24.2,7.95,33.12,6.49,560,PET,Fiber,3.14,High
SMP-2026-0278,16-02-2026 04:00,LOC-103,22.7,7.42,24.02,6.66,335,PE,Fragment,0.08,Medium
SMP-2026-0279,16-02-2026 08:00,LOC-106,18.7,7.6,35.81,8.02,531,PA,Fragment,2.39,High
SMP-2026-0280,16-02-2026 12:00,LOC-107,24.8,7.36,44.58,6.51,260,PET,Microbead,1.7,Medium
SMP-2026-0281,16-02-2026 16:00,LOC-106,14.8,7.45,9.43,10.48,120,PVC,Film,0.61,Medium
SMP-2026-0282,16-02-2026 20:00,LOC-106,22.2,7.49,44.76,8.08,625,PET,Fragment,1.16,High
SMP-2026-0283,17-02-2026 00:00,LOC-106,27.9,7.07,4.5,5.3,98,PP,Film,0.83,Low
SMP-2026-0284,17-02-2026 04:00,LOC-103,14.3,7.2,0.6,9.74,25,PE,Foam,3.08,Low
SMP-2026-0285,17-02-2026 08:00,LOC-106,21.5,7.29,2.47,7.41,44,PP,Fiber,1.71,Low
SMP-2026-0286,17-02-2026 12:00,LOC-108,24.9,7.51,15.71,6.6,224,PP,Microbead,1.99,Medium
SMP-2026-0287,17-02-2026 16:00,LOC-102,26.3,7.38,28.66,6.24,295,PVC,Film,2.1,Medium
SMP-2026-0288,17-02-2026 20:00,LOC-105,22.4,7.99,3.57,7.54,107,PE,Fragment,2.26,Medium
SMP-2026-0289,18-02-2026 00:00,LOC-101,13.7,7.82,0.75,8.44,30,PE,Film,1.76,Low
SMP-2026-0290,18-02-2026 04:00,LOC-101,14.5,7.3,42.2,9.83,255,PE,Fragment,0.11,Medium
SMP-2026-0291,18-02-2026 08:00,LOC-105,8.4,8.09,37.08,11.28,218,PE,Film,1.2,Medium
SMP-2026-0292,18-02-2026 12:00,LOC-103,23.2,8.34,36.51,6.69,914,PE,Fragment,0.68,Critical
SMP-2026-0293,18-02-2026 16:00,LOC-104,8.9,6.38,39.86,11.73,391,PVC,Foam,2.4,High
SMP-2026-0294,18-02-2026 20:00,LOC-103,25.3,7.87,31.65,7.14,690,PET,Fragment,0.25,High
SMP-2026-0295,19-02-2026 00:00,LOC-101,10.4,7.05,5.15,11.22,53,PP,Fragment,2,Low
SMP-2026-0296,19-02-2026 04:00,LOC-101,11.4,7.8,18.26,10.32,453,PE,Fiber,0.78,High
SMP-2026-0297,19-02-2026 08:00,LOC-105,17.5,8.02,32.68,8.21,753,PET,Fragment,3.32,Critical
SMP-2026-0298,19-02-2026 12:00,LOC-106,22.8,6.96,12.97,5.66,234,PET,Fiber,1.21,Medium
SMP-2026-0299,19-02-2026 16:00,LOC-103,10.8,6.47,31.09,10.85,178,PP,Microbead,1.17,Medium
SMP-2026-0300,19-02-2026 20:00,LOC-109,16.8,7.82,1.59,9.25,38,PVC,Fiber,3.24,Low
SMP-2026-0301,20-02-2026 00:00,LOC-105,17.7,7.47,14.12,8.64,210,PS,Foam,1.49,Medium
SMP-2026-0302,20-02-2026 04:00,LOC-108,12.2,6.57,24.94,10.81,366,PS,Fiber,3.37,High
SMP-2026-0303,20-02-2026 08:00,LOC-101,10.3,8.66,28.63,10.25,331,PET,Microbead,0.13,Medium
SMP-2026-0304,20-02-2026 12:00,LOC-105,24.7,7.71,26.18,6.5,178,PA,Foam,1.11,Medium
SMP-2026-0305,20-02-2026 16:00,LOC-103,18,7.74,31.55,8.47,545,PA,Film,2.35,High
SMP-2026-0306,20-02-2026 20:00,LOC-101,8.3,8.08,0.77,11.45,29,PP,Film,3.12,Low
SMP-2026-0307,21-02-2026 00:00,LOC-104,24.1,7.11,4.99,7.35,75,PS,Fiber,0.93,Low
SMP-2026-0308,21-02-2026 04:00,LOC-105,27.6,7.47,39.17,5.67,242,PET,Fiber,3.26,Medium
SMP-2026-0309,21-02-2026 08:00,LOC-107,20.1,6.74,30.84,7.82,785,PVC,Microbead,2.1,Critical
SMP-2026-0310,21-02-2026 12:00,LOC-101,18.1,7.1,5.53,8.1,95,PS,Microbead,2.81,Low
SMP-2026-0311,21-02-2026 16:00,LOC-103,25.6,7.59,37.97,6.98,788,PET,Fragment,1.42,Critical
SMP-2026-0312,21-02-2026 20:00,LOC-102,27.1,6.57,11.28,5.15,175,PET,Microbead,0.78,Medium
SMP-2026-0313,22-02-2026 00:00,LOC-109,23.1,7.08,21.78,6.79,151,PE,Fragment,3.19,Medium
SMP-2026-0314,22-02-2026 04:00,LOC-110,16.9,6.94,6.96,9.78,100,PVC,Foam,3.27,Medium
SMP-2026-0315,22-02-2026 08:00,LOC-106,19.8,7.47,32.1,8.29,394,PE,Fiber,1.77,High
SMP-2026-0316,22-02-2026 12:00,LOC-110,22,7.69,30.18,7.39,675,PP,Foam,0.07,High
SMP-2026-0317,22-02-2026 16:00,LOC-103,11.9,7.77,9.89,10.44,205,PE,Microbead,0.43,Medium
SMP-2026-0318,22-02-2026 20:00,LOC-108,16.9,7.9,38.92,8.46,431,PE,Foam,2.03,High
SMP-2026-0319,23-02-2026 00:00,LOC-108,24.6,8.09,18.36,6.59,467,PS,Foam,0.13,High
SMP-2026-0320,23-02-2026 04:00,LOC-102,21.1,7.7,13.52,7.5,173,PA,Foam,1.42,Medium
SMP-2026-0321,23-02-2026 08:00,LOC-106,16.2,8.34,7.28,9.23,201,PET,Microbead,1.1,Medium
SMP-2026-0322,23-02-2026 12:00,LOC-107,21.3,7.46,12.34,6.86,335,PVC,Foam,2.51,Medium
SMP-2026-0323,23-02-2026 16:00,LOC-102,10.4,7.31,1.48,11.08,33,PE,Fragment,0.24,Low
SMP-2026-0324,23-02-2026 20:00,LOC-110,16,7.7,26.45,9.71,320,PVC,Microbead,1.74,Medium
SMP-2026-0325,24-02-2026 00:00,LOC-102,23.9,7.29,37.98,6.73,583,PA,Foam,2.05,High
SMP-2026-0326,24-02-2026 04:00,LOC-110,12.4,8.33,24.93,10.6,473,PA,Microbead,2.18,High
SMP-2026-0327,24-02-2026 08:00,LOC-101,11.7,7.97,10.26,10.65,179,PE,Film,1.45,Medium
SMP-2026-0328,24-02-2026 12:00,LOC-108,27,7.78,2,5.6,76,PP,Fragment,1.1,Low
SMP-2026-0329,24-02-2026 16:00,LOC-101,12.2,7.47,10.05,9.81,216,PE,Foam,2.4,Medium
SMP-2026-0330,24-02-2026 20:00,LOC-109,13.2,7.2,19.02,9.58,194,PS,Film,2.97,Medium
SMP-2026-0331,25-02-2026 00:00,LOC-106,27.4,7.75,34.3,5.93,263,PET,Film,2.44,Medium
SMP-2026-0332,25-02-2026 04:00,LOC-107,22.7,6.84,8.86,7.16,187,PP,Microbead,3.27,Medium
SMP-2026-0333,25-02-2026 08:00,LOC-110,22,8.17,32.53,8.04,287,PE,Film,2.52,Medium
SMP-2026-0334,25-02-2026 12:00,LOC-107,25.1,7.31,39.08,6.87,833,PVC,Fragment,2.69,Critical
SMP-2026-0335,25-02-2026 16:00,LOC-110,10.3,7.55,20.7,11.3,263,PP,Fragment,0.63,Medium
SMP-2026-0336,25-02-2026 20:00,LOC-103,22.1,6.95,37.05,7.5,441,PP,Fiber,1.5,High
SMP-2026-0337,26-02-2026 00:00,LOC-102,18.1,7.76,25.18,8.09,151,PE,Fragment,1.72,Medium
SMP-2026-0338,26-02-2026 04:00,LOC-109,24.6,7.17,28.85,6.78,568,PP,Film,0.93,High
SMP-2026-0339,26-02-2026 08:00,LOC-108,18.2,7.72,23.92,8.57,196,PVC,Fragment,1.87,Medium
SMP-2026-0340,26-02-2026 12:00,LOC-110,20.4,7.78,21.11,7.31,443,PA,Microbead,1.05,High
SMP-2026-0341,26-02-2026 16:00,LOC-107,17.6,7.08,10.94,9.32,182,PP,Fiber,2.42,Medium
SMP-2026-0342,26-02-2026 20:00,LOC-109,17.6,6.84,13.99,9.27,297,PA,Film,1.67,Medium
SMP-2026-0343,27-02-2026 00:00,LOC-104,23.4,8.17,13.4,6.41,244,PVC,Fiber,1.63,Medium
SMP-2026-0344,27-02-2026 04:00,LOC-104,20.6,7.3,25.57,7.5,184,PE,Film,3.44,Medium
SMP-2026-0345,27-02-2026 08:00,LOC-101,20.7,7.51,5.84,7.52,138,PET,Microbead,1.4,Medium
SMP-2026-0346,27-02-2026 12:00,LOC-108,17,7.64,41.3,9.2,283,PP,Fiber,1.3,Medium
SMP-2026-0347,27-02-2026 16:00,LOC-103,18.6,6.77,32.57,8.67,492,PET,Foam,1.15,High
SMP-2026-0348,27-02-2026 20:00,LOC-107,22.9,7.63,18.36,7.15,175,PVC,Film,3.14,Medium
SMP-2026-0349,28-02-2026 00:00,LOC-102,24.5,7.45,7.56,6.79,176,PP,Foam,1.76,Medium
SMP-2026-0350,28-02-2026 04:00,LOC-102,21.9,7.08,39.75,6.79,940,PA,Fiber,2.12,Critical
SMP-2026-0351,28-02-2026 08:00,LOC-107,26.5,6.82,37.16,6.24,616,PS,Foam,0.67,High
SMP-2026-0352,28-02-2026 12:00,LOC-106,24.4,7.7,32.62,6.63,534,PET,Foam,1.92,High
SMP-2026-0353,28-02-2026 16:00,LOC-103,19.2,7.96,12.58,7.9,274,PP,Fiber,1,Medium
SMP-2026-0354,28-02-2026 20:00,LOC-109,21.4,7.49,18.41,6.81,116,PET,Microbead,2.57,Medium
SMP-2026-0355,01-03-2026 00:00,LOC-110,26.5,6.68,5.07,6.06,140,PP,Foam,2.92,Medium
SMP-2026-0356,01-03-2026 04:00,LOC-106,20.4,6.87,8.91,8.06,102,PE,Foam,2.52,Medium
SMP-2026-0357,01-03-2026 08:00,LOC-110,24.5,7.18,35.34,5.8,894,PA,Microbead,2.57,Critical
SMP-2026-0358,01-03-2026 12:00,LOC-110,21.8,8.18,32.32,7.47,660,PET,Foam,1.82,High
SMP-2026-0359,01-03-2026 16:00,LOC-106,19,7.28,26.91,8.36,562,PS,Foam,2.51,High
SMP-2026-0360,01-03-2026 20:00,LOC-101,12.8,7.17,40.36,9.88,748,PS,Foam,1.51,Critical
SMP-2026-0361,02-03-2026 00:00,LOC-104,16.5,6.56,26.46,9.24,407,PVC,Fragment,2.3,High
SMP-2026-0362,02-03-2026 04:00,LOC-110,27.4,7.07,21.28,5.71,373,PP,Microbead,0.94,High
SMP-2026-0363,02-03-2026 08:00,LOC-106,21.2,6.78,15.65,7.78,122,PET,Foam,0.29,Medium
SMP-2026-0364,02-03-2026 12:00,LOC-106,19.3,6.9,42.35,8.48,762,PVC,Microbead,1.48,Critical
SMP-2026-0365,02-03-2026 16:00,LOC-105,26.7,7.46,4.18,6.26,89,PET,Film,1.64,Low
SMP-2026-0366,02-03-2026 20:00,LOC-101,19.7,7.2,41.92,8.6,976,PP,Film,0.93,Critical
SMP-2026-0367,03-03-2026 00:00,LOC-108,18.5,8.25,37.29,8.62,588,PS,Foam,2.56,High
SMP-2026-0368,03-03-2026 04:00,LOC-105,23.2,7.94,6.28,6.8,61,PE,Microbead,0.3,Low
SMP-2026-0369,03-03-2026 08:00,LOC-105,22.3,7.1,25.64,6.99,299,PS,Microbead,0.82,Medium
SMP-2026-0370,03-03-2026 12:00,LOC-107,11.9,6.94,39.06,9.9,725,PVC,Microbead,2.63,Critical
SMP-2026-0371,03-03-2026 16:00,LOC-104,17.4,8.09,25.95,8.86,271,PA,Fragment,1.56,Medium
SMP-2026-0372,03-03-2026 20:00,LOC-106,17.5,8.23,40.87,9.41,457,PE,Film,2.48,High
SMP-2026-0373,04-03-2026 00:00,LOC-104,15.6,6.3,42.46,9.14,931,PVC,Microbead,2.01,Critical
SMP-2026-0374,04-03-2026 04:00,LOC-103,18.3,7.45,19.3,8.73,342,PP,Microbead,3.33,Medium
SMP-2026-0375,04-03-2026 08:00,LOC-107,16.3,7.27,17.29,8.73,285,PE,Fragment,2.11,Medium
SMP-2026-0376,04-03-2026 12:00,LOC-108,12,7.72,42.17,10.5,504,PVC,Fragment,0.1,High
SMP-2026-0377,04-03-2026 16:00,LOC-104,16.2,8.37,30.54,9.77,615,PP,Microbead,1.27,High
SMP-2026-0378,04-03-2026 20:00,LOC-102,9.4,7.16,5.66,11.52,84,PS,Fiber,0.54,Low
SMP-2026-0379,05-03-2026 00:00,LOC-110,19.5,6.37,2.38,7.36,70,PA,Microbead,3.24,Low
SMP-2026-0380,05-03-2026 04:00,LOC-103,25.1,7.69,25.63,6.76,188,PP,Microbead,0.41,Medium
SMP-2026-0381,05-03-2026 08:00,LOC-101,22.5,8.09,41.89,7.56,950,PET,Fragment,1.39,Critical
SMP-2026-0382,05-03-2026 12:00,LOC-108,15.2,7.25,38.07,9.53,583,PP,Fragment,0.83,High
SMP-2026-0383,05-03-2026 16:00,LOC-103,9.7,7.05,30.58,11.42,438,PP,Microbead,2.97,High
SMP-2026-0384,05-03-2026 20:00,LOC-110,12,7.18,6.69,9.98,135,PA,Microbead,1.11,Medium
SMP-2026-0385,06-03-2026 00:00,LOC-107,18.9,7.83,11.81,8.36,227,PET,Microbead,3.47,Medium
SMP-2026-0386,06-03-2026 04:00,LOC-110,12.1,7.17,39.46,10.93,320,PVC,Fragment,0.18,Medium
SMP-2026-0387,06-03-2026 08:00,LOC-105,18.9,7.56,8.63,8.84,191,PVC,Microbead,0.49,Medium
SMP-2026-0388,06-03-2026 12:00,LOC-110,12.6,7.41,12.89,10.49,154,PP,Microbead,0.83,Medium
SMP-2026-0389,06-03-2026 16:00,LOC-105,25,7.36,6.27,6.06,162,PET,Foam,2.85,Medium
SMP-2026-0390,06-03-2026 20:00,LOC-107,15.9,7.75,30.59,8.71,672,PET,Fiber,3.08,High
SMP-2026-0391,07-03-2026 00:00,LOC-109,12.9,7.16,42.51,10.19,522,PA,Film,0.3,High
SMP-2026-0392,07-03-2026 04:00,LOC-105,24.2,7.18,12.47,6.83,282,PS,Fiber,0.16,Medium
SMP-2026-0393,07-03-2026 08:00,LOC-101,14.9,7.8,21.66,9.48,283,PVC,Foam,2.62,Medium
SMP-2026-0394,07-03-2026 12:00,LOC-110,10.2,6.91,28.73,10.54,220,PA,Film,0.51,Medium
SMP-2026-0395,07-03-2026 16:00,LOC-110,19.4,6.96,44.98,8.4,1110,PE,Microbead,0.51,Critical
SMP-2026-0396,07-03-2026 20:00,LOC-101,19.6,6.77,5.16,8.18,117,PVC,Foam,0.13,Medium
SMP-2026-0397,08-03-2026 00:00,LOC-102,22.3,7.82,22.69,7.45,338,PA,Microbead,0.22,Medium
SMP-2026-0398,08-03-2026 04:00,LOC-106,12.8,7.35,17.64,10.46,250,PVC,Fragment,0.96,Medium
SMP-2026-0399,08-03-2026 08:00,LOC-109,16.9,6.74,39.03,8.79,466,PS,Foam,0.27,High
SMP-2026-0400,08-03-2026 12:00,LOC-108,13.6,7.83,21.68,9.68,554,PE,Fragment,1.32,High
SMP-2026-0401,08-03-2026 16:00,LOC-105,9.6,7.12,5.44,11.67,64,PS,Foam,2.92,Low
SMP-2026-0402,08-03-2026 20:00,LOC-101,25.5,6.96,28.73,5.97,338,PE,Foam,1.18,Medium
SMP-2026-0403,09-03-2026 00:00,LOC-107,22.6,7.3,34.8,6.99,534,PP,Fragment,2.56,High
SMP-2026-0404,09-03-2026 04:00,LOC-105,14,8.14,0.63,10.42,22,PA,Film,0.37,Low
SMP-2026-0405,09-03-2026 08:00,LOC-106,20,7.2,38.72,7.73,576,PE,Fiber,2.32,High
SMP-2026-0406,09-03-2026 12:00,LOC-107,12,7.69,8.78,10.35,91,PS,Microbead,1.14,Low
SMP-2026-0407,09-03-2026 16:00,LOC-103,25.8,7.76,25.07,6.05,221,PVC,Foam,2.64,Medium
SMP-2026-0408,09-03-2026 20:00,LOC-110,10.3,7.62,19,10.02,211,PE,Microbead,0.52,Medium
SMP-2026-0409,10-03-2026 00:00,LOC-103,8.1,8.04,32.52,11.51,778,PA,Fragment,3.15,Critical
SMP-2026-0410,10-03-2026 04:00,LOC-105,18,7.05,17.02,8.09,145,PE,Microbead,0.89,Medium
SMP-2026-0411,10-03-2026 08:00,LOC-106,19.7,6.88,39.2,8.22,812,PET,Fragment,1.27,Critical
SMP-2026-0412,10-03-2026 12:00,LOC-109,19.6,6.87,33.01,8.67,689,PVC,Microbead,3.33,High
SMP-2026-0413,10-03-2026 16:00,LOC-105,9.1,7.33,29.32,10.16,639,PA,Fiber,2.05,High
SMP-2026-0414,10-03-2026 20:00,LOC-101,14.3,6.93,35.93,9.51,841,PA,Fiber,1.31,Critical
SMP-2026-0415,11-03-2026 00:00,LOC-104,18,7.47,34.05,8.83,367,PP,Fiber,3.33,High
SMP-2026-0416,11-03-2026 04:00,LOC-105,12.3,7.44,2.1,9.22,41,PS,Fiber,1.19,Low
SMP-2026-0417,11-03-2026 08:00,LOC-110,25.5,7.91,18.07,7.02,271,PP,Fiber,0.38,Medium
SMP-2026-0418,11-03-2026 12:00,LOC-110,9.7,7.55,41.92,11.28,447,PA,Fiber,3.49,High
SMP-2026-0419,11-03-2026 16:00,LOC-105,17.7,7.19,6.09,9.23,131,PVC,Fragment,0.97,Medium
SMP-2026-0420,11-03-2026 20:00,LOC-107,21.8,7.61,33.3,7.18,610,PE,Foam,2.99,High
SMP-2026-0421,12-03-2026 00:00,LOC-104,13.2,6.88,43.87,9.82,1015,PE,Microbead,0.62,Critical
SMP-2026-0422,12-03-2026 04:00,LOC-101,20.5,7.38,2.82,7.77,40,PVC,Fiber,2.57,Low
SMP-2026-0423,12-03-2026 08:00,LOC-105,24.6,7.56,30.86,7.69,738,PA,Fragment,1.86,Critical
SMP-2026-0424,12-03-2026 12:00,LOC-107,11.8,7.46,21.33,11.12,257,PE,Fragment,3.43,Medium
SMP-2026-0425,12-03-2026 16:00,LOC-110,26.3,7.61,26.27,6.18,408,PE,Fragment,1.96,High
SMP-2026-0426,12-03-2026 20:00,LOC-110,19.1,7.08,4.3,8.4,81,PE,Foam,0.14,Low
SMP-2026-0427,13-03-2026 00:00,LOC-106,14,7.98,2.41,10.12,65,PS,Microbead,2.13,Low
SMP-2026-0428,13-03-2026 04:00,LOC-105,16.6,8.31,30.18,10.22,432,PS,Foam,0.55,High
SMP-2026-0429,13-03-2026 08:00,LOC-104,14.2,6.6,37.14,9.93,902,PET,Film,2.8,Critical
SMP-2026-0430,13-03-2026 12:00,LOC-102,22.5,6.79,35.3,7.27,841,PP,Fragment,3.01,Critical
SMP-2026-0431,13-03-2026 16:00,LOC-104,23.9,7.42,24.7,6.66,575,PVC,Film,1.71,High
SMP-2026-0432,13-03-2026 20:00,LOC-110,24.7,7.27,4.94,6.71,51,PVC,Fiber,2.75,Low
SMP-2026-0433,14-03-2026 00:00,LOC-110,27.7,8.35,31.12,5.4,702,PVC,Fiber,0.55,Critical
SMP-2026-0434,14-03-2026 04:00,LOC-103,23.8,7.51,11.26,7.11,249,PET,Foam,1.75,Medium
SMP-2026-0435,14-03-2026 08:00,LOC-110,20,8.1,41.04,7.28,310,PS,Microbead,1.41,Medium
SMP-2026-0436,14-03-2026 12:00,LOC-101,14.8,6.38,37.8,9.43,299,PA,Film,2.16,Medium
SMP-2026-0437,14-03-2026 16:00,LOC-108,18.9,7.81,32.07,8.7,243,PA,Microbead,0.2,Medium
SMP-2026-0438,14-03-2026 20:00,LOC-105,8.8,7.04,42.72,11.54,241,PET,Foam,2.64,Medium
SMP-2026-0439,15-03-2026 00:00,LOC-104,22.9,7.03,1.9,6.9,48,PA,Fiber,0.32,Low
SMP-2026-0440,15-03-2026 04:00,LOC-108,16.9,7.28,33.26,8.81,840,PVC,Microbead,2.31,Critical
SMP-2026-0441,15-03-2026 08:00,LOC-107,8.4,6.69,15.2,12,222,PP,Microbead,0.11,Medium
SMP-2026-0442,15-03-2026 12:00,LOC-102,9.3,7.62,40.82,10.6,665,PE,Fiber,2.92,High
SMP-2026-0443,15-03-2026 16:00,LOC-101,15.7,7.5,12.37,8.69,322,PS,Film,0.65,Medium
SMP-2026-0444,15-03-2026 20:00,LOC-104,19.7,7.53,32.76,7.63,356,PS,Fiber,1.83,High
SMP-2026-0445,16-03-2026 00:00,LOC-108,17.3,7.84,39.56,8.8,897,PET,Microbead,0.95,Critical
SMP-2026-0446,16-03-2026 04:00,LOC-102,20.4,8.16,2.35,7.2,62,PS,Film,2.54,Low
SMP-2026-0447,16-03-2026 08:00,LOC-103,17.6,7.22,18.2,9.2,311,PVC,Film,1.16,Medium
SMP-2026-0448,16-03-2026 12:00,LOC-101,21.2,7.64,34.42,7.18,431,PA,Fiber,2.55,High
SMP-2026-0449,16-03-2026 16:00,LOC-101,12.4,7.55,20.74,10.39,353,PVC,Microbead,1.03,High
SMP-2026-0450,16-03-2026 20:00,LOC-103,10.3,7.59,12.39,10.62,104,PET,Foam,2.65,Medium
SMP-2026-0451,17-03-2026 00:00,LOC-105,19.9,7.6,10.28,8,232,PVC,Microbead,0.16,Medium
SMP-2026-0452,17-03-2026 04:00,LOC-103,17.7,8.2,6.35,7.89,82,PA,Fragment,1.03,Low
SMP-2026-0453,17-03-2026 08:00,LOC-101,8.5,7.17,38.64,11.95,904,PP,Foam,1.77,Critical
SMP-2026-0454,17-03-2026 12:00,LOC-101,15.6,6.64,26.1,8.84,339,PET,Film,0.21,Medium
SMP-2026-0455,17-03-2026 16:00,LOC-108,10.1,7.05,3.9,10.44,48,PP,Foam,0.69,Low
SMP-2026-0456,17-03-2026 20:00,LOC-110,18.6,7.78,17.52,9.61,347,PE,Film,3.27,Medium
SMP-2026-0457,18-03-2026 00:00,LOC-102,15.9,7.41,16.86,9.51,156,PP,Film,3.42,Medium
SMP-2026-0458,18-03-2026 04:00,LOC-103,20.3,7.17,8.59,8.39,196,PE,Foam,2.6,Medium
SMP-2026-0459,18-03-2026 08:00,LOC-102,24.1,6.86,19.88,7,506,PE,Film,0.92,High
SMP-2026-0460,18-03-2026 12:00,LOC-103,14,7.51,15.28,9.57,345,PP,Film,0.95,Medium
SMP-2026-0461,18-03-2026 16:00,LOC-107,27.2,7.72,15.71,5.19,110,PET,Fragment,2.28,Medium
SMP-2026-0462,18-03-2026 20:00,LOC-101,18.7,7.55,33.39,8.24,582,PA,Microbead,0.46,High
SMP-2026-0463,19-03-2026 00:00,LOC-110,20.4,7.27,10.44,7.39,218,PVC,Microbead,3.32,Medium
